"","STATE_ABBR","EV_AVG","MOST_FREQ","EV_MOST","PROP","AVG_PROPDMG_MAX","CROP","AVG_CROPDMG_MAX","HARM","AVG_HARM_MAX"
"1","AL",179.370967741935,"THUNDERSTORM WIND",6303,"WINTER STORM",384.77,"HEAT",30.78,"DENSE FOG",18
"2","AR",113.967741935484,"THUNDERSTORM WIND",3158,"ICE STORM",28.63,"HURRICANE/TYPHOON",3.85,"TORNADO",4
"3","AZ",32.86,"THUNDERSTORM WIND",771,"HAIL",50.52,"TROPICAL STORM",200,"WINTER WEATHER",14
"4","CA",61.0925925925926,"FLASH FLOOD",492,"FLOOD",461.47,"COLD/WIND CHILL",60.93,"EXCESSIVE HEAT",9
"5","CO",34.5806451612903,"TORNADO",508,"HAIL",7.24,"FROST/FREEZE",4.76,"DUST STORM",10
"6","CT",18.8775510204082,"THUNDERSTORM WIND",495,"TROPICAL STORM",15,"NONE",0,"TORNADO",10
"7","DC",7.88888888888889,"THUNDERSTORM WIND",76,"TROPICAL STORM",42.53,"NONE",0,"EXCESSIVE HEAT",56
"8","DE",9.975,"STRONG WIND",113,"TROPICAL STORM",17.75,"DROUGHT",29.1,"HEAVY SNOW",30
"9","FL",139.483870967742,"THUNDERSTORM WIND",3435,"HURRICANE/TYPHOON",567.76,"DROUGHT",100,"HURRICANE/TYPHOON",15
"10","GA",180.758064516129,"THUNDERSTORM WIND",6897,"BLIZZARD",18.5,"DROUGHT",143.46,"BLIZZARD",139
"11","IA",259.564516129032,"THUNDERSTORM WIND",5827,"DROUGHT",71.68,"DROUGHT",223.29,"DUST DEVIL",5
"12","ID",19.5,"THUNDERSTORM WIND",261,"FLOOD",1.74,"COLD/WIND CHILL",2.5,"DUST STORM",4
"13","IL",104.870967741935,"THUNDERSTORM WIND",3265,"FLOOD",19.33,"DROUGHT",71.14,"HEAT",47
"14","IN",99.3225806451613,"THUNDERSTORM WIND",2926,"TORNADO",2.14,"DROUGHT",36.5,"HEAT",32
"15","KS",118.193548387097,"THUNDERSTORM WIND",2739,"COLD/WIND CHILL",5,"DROUGHT",19.49,"HEAT",4
"16","KY",110.672131147541,"THUNDERSTORM WIND",4020,"ICE STORM",4.13,"DROUGHT",75.33,"EXCESSIVE HEAT",18
"17","LA",102.516129032258,"THUNDERSTORM WIND",3401,"STORM SURGE/TIDE",2652.33,"FROST/FREEZE",50,"DENSE FOG",9
"18","MA",38.8571428571429,"THUNDERSTORM WIND",1001,"TORNADO",5.25,"NONE",0,"TORNADO",13
"19","MD",57.5185185185185,"THUNDERSTORM WIND",1890,"TROPICAL STORM",41.42,"DROUGHT",7.67,"BLIZZARD",51
"20","ME",13.2040816326531,"FLOOD",199,"ICE STORM",79.56,"HEAVY RAIN",0.12,"DENSE FOG",24
"21","MI",88.3666666666667,"THUNDERSTORM WIND",2956,"ICE STORM",11.92,"DROUGHT",150,"EXCESSIVE HEAT",56
"22","MN",54.241935483871,"THUNDERSTORM WIND",1299,"FLOOD",7.07,"FLOOD",0.57,"TORNADO",2
"23","MO",107.903225806452,"THUNDERSTORM WIND",2879,"TORNADO",2.83,"DROUGHT",6.17,"HEAT",54
"24","MS",193.91935483871,"THUNDERSTORM WIND",6656,"STORM SURGE/TIDE",1024.25,"ICE STORM",192.31,"HURRICANE/TYPHOON",9
